maxRatio,minTrainLoss,minEvalLoss,modelIndex,slug,freqs,freqs_neurons,non_freqs
1482160.496999428,1.6798265633412342e-7,0.000002402877789489459,48,2023_07_20_20_27_28_456391,13 32 10 26,6 5 5 5,3
1513715.258751134,1.8631637796248103e-7,8.724110562967158e-7,49,2023_07_20_20_27_28_645502,24 13 14,9 8 7,0
1533253.6916137482,1.7805672392797014e-7,9.262216621757686e-7,50,2023_07_20_20_27_28_856169,27 23 24,9 7 7,1
1470610.8773708,1.693170152293291e-7,0.0000012631606369768898,51,2023_07_20_20_27_28_948102,29 3 23 11,7 6 5 4,2
1239928.1474368654,1.9088630776913179e-7,0.0000014420390917674793,52,2023_07_20_20_27_29_598631,9 27 32,8 9 7,0
1463440.5315401866,2.1955957525709833e-7,0.00000976064774806505,53,2023_07_20_20_27_30_209534,17 31 22,6 5 5,8
1300877.982773385,1.7780214648834697e-7,9.520600015128107e-7,54,2023_07_20_20_27_30_291474,20 12 10,8 7 6,3
1432405.1015661338,1.8382732467023444e-7,0.00000303728178016896,55,2023_07_20_20_27_30_512206,0 5 9 19,5 5 5 6,3
1180914.817261245,1.899479548880606e-7,0.0000011821010654922452,56,2023_07_20_20_27_31_026911,28 11 13,9 7 8,0
1509702.7490098283,1.6683575927122495e-7,7.085757843807644e-7,57,2023_07_20_20_27_32_195837,25 17 19,8 8 8,0
1483972.2913436443,1.8901424357789658e-7,0.0000044713795598624,58,2023_07_20_20_27_32_905798,21 10 3 9,8 2 6 7,1
1075663.5370052084,1.7618555343291608e-7,0.0000022924438386930282,59,2023_07_20_20_27_33_251452,1 30 27 17,6 5 6 4,3
1388016.0085404196,1.66323089141936e-7,0.00000113230022824471,60,2023_07_20_20_27_33_335679,2 28 1 9,6 6 6 5,1
1381659.334854586,1.725320574674416e-7,0.0000017731339993061565,61,2023_07_20_20_27_33_595885,30 27 6 29,6 7 5 5,1
1298299.986632292,1.706380373976655e-7,0.0000032745501845849644,62,2023_07_20_20_27_34_156819,6 9 31 8,5 6 1 6,6
